Country Name,Year,Renewable_Share,GDP_per_Capita,Electricity_Access,Urban_Population,CO2_Emissions,Energy_Consumption
United States,2010,7.4,48642.6312088213,100.0,249667531.0,18.22542,18647.496
Uzbekistan,2010,1.3,5504.8563793137,99.6,14570895.0,3.7930706,325.20285
World,2010,16.7414815095897,12953.5838737378,83.4471382973513,3623784825.0,4.744936,5983.711
South Africa,2010,9.4,12637.2912226018,82.8,32783033.0,8.928475,20623.86
United Arab Emirates,2011,0.1,89665.4018921986,100.0,5937227.0,27.574131,718.6595
Argentina,2011,8.8,19104.9909405228,99.0,38019648.0,4.550224,350.3095
Australia,2011,8.3,42152.816179831,100.0,19285449.0,17.96612,26337.545
Austria,2011,31.6,44171.5618687028,100.0,5634856.0,8.327111,4814.6987
Azerbaijan,2011,3.5,14804.5744507911,99.9,4908383.0,3.2637987,4.56453
Belgium,2011,6.7,41244.8495035213,100.0,9408460.0,9.526456,3718.6663
Bangladesh,2011,38.4,3051.26983271811,59.6,43174476.0,0.36195275,84.090454
Bulgaria,2011,13.2,15747.3476582908,94.1,5335633.0,7.1978717,12756.65
Belarus,2011,7.5,16563.2014078209,95.0,7101886.0,6.476822,952.06006
Brazil,2011,45.2,15211.7920390047,99.3,165254972.0,2.3653224,920.0566
Canada,2011,21.5,41666.8374590278,100.0,27850187.0,16.287806,7494.9185
Switzerland,2011,20.6,57493.5810559211,100.0,5827528.0,5.1770616,201.46172
Chile,2011,28.8,20121.6834214209,99.6,15097974.0,4.4993253,3860.489
China,2011,11.3,10456.7916826113,99.9,697132024.0,6.998823,16279.062
Colombia,2011,29.6,11707.4614624747,96.7,34777036.0,1.6613352,1000.1506
Cyprus,2011,7.6,33405.9765625,100.0,772713.0,6.7966948,69.91861
Czechia,2011,12.2,29237.1870959847,100.0,7692356.0,10.974041,20483.875
Germany,2011,12.5,43398.3443992496,100.0,64493384.0,9.95007,11264.099
Denmark,2011,23.8,44443.7163844726,100.0,4855130.0,7.9407773,6791.62
Algeria,2011,0.2,14639.8779436268,99.0,24996281.0,3.3795078,86.66552
Ecuador,2011,13.2,9768.69201080404,96.9,9624090.0,2.510752,7.097816
Spain,2011,14.7,32015.5752000401,100.0,36784351.0,6.02738,3165.2244
Estonia,2011,25.2,24652.3610297918,100.0,901033.0,14.274907,35704.24
Finland,2011,35.1,40845.9566729849,100.0,3774933.0,10.512902,11899.534
France,2011,10.6,37510.3759898714,100.0,50389719.0,5.572035,1941.6694
United Kingdom,2011,4.0,37224.3787645256,100.0,51325648.0,7.3959785,5632.311
Greece,2011,11.4,25692.5740851321,100.0,8510268.0,8.507211,8268.1455
Croatia,2011,27.2,21190.7130553097,100.0,2366216.0,4.8155785,1909.1304
Hungary,2011,14.7,22992.2184657584,100.0,6928156.0,5.04249,3171.661
Indonesia,2011,32.4,8936.99215549454,94.8,125939961.0,2.0060833,1989.279
India,2011,35.0,4454.70153200513,79.5,394443694.0,1.3999841,2758.3215
Ireland,2011,7.0,45525.7181239042,100.0,2843649.0,8.309539,4949.5273
Iraq,2011,1.1,12912.0299790146,98.0,22231656.0,3.8408003,0.0
Iceland,2011,77.1,40936.867830513,100.0,297994.0,10.977909,3394.5498
Israel,2011,9.1,31313.9334997029,100.0,7123600.0,9.181438,12347.966
Italy,2011,11.9,36392.2827759493,100.0,41059264.0,7.0218983,2953.0598
Japan,2011,4.8,36214.4397740241,100.0,116153110.0,9.845555,10013.157
Kazakhstan,2011,1.4,20159.9329426413,99.8,9283838.0,13.955058,24765.037
Kuwait,2011,0.0,79036.7857441182,100.0,3132814.0,27.81871,50.26176
Sri Lanka,2011,56.4,9075.545495895,87.8,3737115.0,0.68904465,165.57185
Lithuania,2011,22.7,21557.6567458052,99.7,2021322.0,4.6092105,920.4492
Luxembourg,2011,3.8,94475.0302265023,100.0,461102.0,21.38425,1309.7074
Latvia,2011,35.5,17680.4939630507,99.8,1397032.0,3.7906103,624.61365
Morocco,2011,11.8,7274.1474609375,96.1,19386362.0,1.6670716,1052.0566
Mexico,2011,9.1,17266.8129106549,99.0,88238240.0,4.1937428,1486.6525
North Macedonia,2011,18.6,12420.8114553395,99.7,1128359.0,4.3240137,8427.854
Malaysia,2011,2.2,21324.3594996498,99.5,20828845.0,6.9766316,5887.225
North America,2011,9.86206424776275,49199.8016626681,100.0,279555129.0,12.401896,10792.492
Netherlands,2011,4.7,47004.1370739062,100.0,14690893.0,10.049582,5138.153
Norway,2011,56.0,62460.0908157002,100.0,3928374.0,9.040032,1985.3411
New Zealand,2011,30.3,32738.9884445601,100.0,3762494.0,7.8127985,3712.246
Oman,2011,0.0,52393.3135820293,100.0,2327835.0,18.625143,38.473335
Pakistan,2011,46.8,3879.5977693449,87.8,71334284.0,0.7336991,291.99734
Peru,2011,30.6,10462.5770434663,89.7,22860650.0,1.4443991,324.58505
Philippines,2011,33.8,5705.43591174904,87.2,45865757.0,0.844595,914.5511
Poland,2011,10.4,22808.5055268899,100.0,23117988.0,8.725933,16729.664
Portugal,2011,27.2,26803.2336904645,100.0,6455005.0,4.9051266,2446.5706
Qatar,2011,0.1,174619.917706815,100.0,1602503.0,45.174625,0.0
Romania,2011,21.1,18803.8678810861,97.4,10871785.0,4.5553036,4706.883
Saudi Arabia,2011,0.0,64125.2177225838,100.0,20639162.0,20.694223,29.329449
Singapore,2011,0.5,80052.3914982651,100.0,5183688.0,9.069433,14.362896
Slovenia,2011,19.1,28715.6339954963,100.0,1025321.0,7.9871964,8261.94
Sweden,2011,45.4,44332.5217389078,100.0,8065855.0,5.1976295,2931.945
Thailand,2011,23.0,13227.454108915,99.3,30918591.0,3.548588,2644.9246
Turkmenistan,2011,0.1,10282.7266190528,99.8,2667782.0,11.464075,0.0
Trinidad and Tobago,2011,0.4,31077.796969852,97.5,716139.0,33.72311,0.0
Ukraine,2011,2.7,9126.6083984375,100.0,31824345.0,6.659268,10420.019
United States,2011,8.4,50024.8812320773,100.0,251641209.0,17.634142,17424.332
Uzbekistan,2011,0.9,5949.484123529,99.7,14797699.0,4.050717,342.85623
World,2011,16.6987205578704,13644.381319956,84.5062333878765,3717722248.0,4.848876,6185.322
South Africa,2011,9.0,13143.1933361097,83.6,33307819.0,8.949351,19863.23
United Arab Emirates,2012,0.1,89198.0119017025,100.0,6191396.0,27.787138,2144.4087
Argentina,2012,8.6,19430.4178068112,99.1,38453227.0,4.5471244,324.20834
Australia,2012,8.3,43007.2697824131,100.0,19651972.0,17.72246,24262.76
Austria,2012,34.4,46156.4832073037,100.0,5665678.0,7.977175,4461.906
Azerbaijan,2012,2.8,15994.1466501837,100.0,5001842.0,3.4950342,4.5890527
Belgium,2012,7.7,42483.5250666788,100.0,9495487.0,9.226742,3480.7622
Bangladesh,2012,37.3,3434.27815090447,65.5,44162100.0,0.38501203,68.72449
Bulgaria,2012,15.6,16327.3382758143,94.7,5316384.0,6.5978446,10991.901
Belarus,2012,7.2,18114.7508606708,95.6,7135016.0,6.6143084,972.1315
Brazil,2012,43.5,15198.086330971,99.5,167142675.0,2.5268083,903.10455
Canada,2012,21.8,42291.9729357094,100.0,28170388.0,16.086172,7027.447
Switzerland,2012,21.9,59440.9158607666,100.0,5897866.0,5.280982,179.53796
Chile,2012,30.3,21366.1771264909,100.0,15256086.0,4.5448008,4457.927
China,2012,11.5,11420.2527051141,99.9,719079105.0,7.131918,16372.41
Colombia,2012,29.6,12093.0754939172,97.0,35174755.0,1.7209545,1193.4677
Cyprus,2012,8.6,31924.099609375,100.0,784324.0,6.231036,2.3950515
Czechia,2012,12.8,29465.6074011894,100.0,7696514.0,10.590268,19619.541
Germany,2012,13.6,44229.3941921739,100.0,64657092.0,10.060916,11568.413
Denmark,2012,26.9,44755.1624273018,100.0,4877731.0,7.128379,5303.908
Algeria,2012,0.2,14441.3293398806,98.8,25728190.0,3.6017866,90.20733
Ecuador,2012,13.2,10244.5177816184,97.2,9785703.0,2.4076736,8.386364
Spain,2012,15.8,31869.7839822219,100.0,36878481.0,5.9005117,3831.9521
